wallstreetcn-quick | 华尔街见闻
1. 2025全球开发者先锋大会暨国际具身智能技能大赛12月举行，将首次引入机器人裁判 [URL:https://wallstreetcn.com/livenews/3012470]
2. 白皮书：上海2024年金融科技产业规模约为4405亿元 [URL:https://wallstreetcn.com/livenews/3012469]
3. 疯狂动物城2票房破13亿 [URL:https://wallstreetcn.com/livenews/3012468]
4. 黑海再次发生油轮遭袭事件 [URL:https://wallstreetcn.com/livenews/3012467]
5. 广州市委常委、南沙区委书记刘炜：希望到2030年，南沙年吞吐量超2600万标箱 [URL:https://wallstreetcn.com/livenews/3012466]
6. 香港大埔火灾已致128人遇难83人受伤 仍有150人失联 [URL:https://wallstreetcn.com/livenews/3012465]
7. 香港：此前失踪名单中144人确认安全 [URL:https://wallstreetcn.com/livenews/3012464]
8. 11月电影总票房（含预售）破30亿元 [URL:https://wallstreetcn.com/livenews/3012463]
9. 美国国务卿或将“罕见”缺席北约外长会 [URL:https://wallstreetcn.com/livenews/3012462]
10. 香港特区政府29日下午召开记者会宣布，警方已完成大埔宏福苑火灾中两栋大厦的搜索，并没有发现任何遗体。（新华社） [URL:https://wallstreetcn.com/livenews/3012461]
11. 香港特区政府29日下午召开记者会宣布，已开展“一户一社工”工作，已接触1300户、3200人。目前捐助基金和政府拨款已达11亿港元。（新华社） [URL:https://wallstreetcn.com/livenews/3012460]
12. 泽连斯基：俄发射约36枚导弹近600架无人机 致乌3人死亡 [URL:https://wallstreetcn.com/livenews/3012459]
13. 进口再生纸浆监管引关注，业界专家提出《北京共识》 [URL:https://wallstreetcn.com/livenews/3012457]
14. 时隔285天大盘单日票房再破6亿 [URL:https://wallstreetcn.com/livenews/3012456]
15. 美媒爆猛料：辞职数小时后，前乌总统办公室主任称要“奔赴前线” [URL:https://wallstreetcn.com/livenews/3012455]
16. 北京AI产业规模今年将超4500亿元 [URL:https://wallstreetcn.com/livenews/3012454]
17. 乌称多地遭袭 基辅超50万用户断电 [URL:https://wallstreetcn.com/livenews/3012453]
18. 俄称拦截和击落百余架乌无人机 [URL:https://wallstreetcn.com/livenews/3012452]
19. 湖南：深入推进数字湖南建设，大力实施“人工智能+”行动 [URL:https://wallstreetcn.com/livenews/3012451]
20. 普京下周将与美国特使谈俄乌“和平计划” [URL:https://wallstreetcn.com/livenews/3012449]
21. 美光科技将在日本投资96亿美元生产AI存储芯片。（日经新闻） [URL:https://wallstreetcn.com/livenews/3012448]
22. 《疯狂动物城2》成为中国影史进口片单日票房冠军 [URL:https://wallstreetcn.com/livenews/3012447]
23. 据猫眼专业版实时数据，影片《疯狂动物城2》总票房已突破12亿元。 [URL:https://wallstreetcn.com/livenews/3012446]
24. 据泰国总理府消息，泰国南部因洪水死亡人数已升至162人。（央视新闻） [URL:https://wallstreetcn.com/livenews/3012445]
25. 俄罗斯研发出从水中吸附石油产品的新型聚合物 [URL:https://wallstreetcn.com/livenews/3012444]
26. 动力电池回收标准稳链经验交流座谈会在福建宁德召开 [URL:https://wallstreetcn.com/livenews/3012443]
27. 国家航天局设立商业航天司，持续推动商业航天高质量发展 [URL:https://wallstreetcn.com/livenews/3012442]
28. 中国人民解放军南部战区位中国黄岩岛领海领空及周边区域组织战备警巡 [URL:https://wallstreetcn.com/livenews/3012441]
29. 中国海警位中国黄岩岛领海及周边区域执法巡查 [URL:https://wallstreetcn.com/livenews/3012440]
30. 打击虚拟货币交易炒作工作协调机制会议召开 [URL:https://wallstreetcn.com/livenews/3012439]

